"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m3_ileum_mucosa_van_r4_21d_repeat",-8.53590721146036,-10.2663501721446,-9.67022259589391,-9.64107713528754,-11.9650200232725,-11.7251760605348
"m1_fecal_van_r5_7d_repeat",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m4_ileum_mucosa_psg_r6_7d",-8.59293018200799,-7.85249949918239,-9.00823512971099,-9.19861933252549,-8.36801054614742,-8.84023304774911
"m2_ileum_mucosa_psg_r6_21d",-9.22302650171673,-9.06411242283047,-8.19321416152051,-4.57932701603057,-10.6250177468479,-8.9383837996109
"m4_ileum_luminal_psg_r2_7d",-10.2371130449813,-7.85249949918239,-9.27780262973592,-7.74593054373374,-7.93737709616618,-12.1889874325524
"m2_ileum_mucosa_psg_r6_7d_repeatredone",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m3_ileum_mucosa_control_r4_7d_repeat",-11.1643058784814,-6.63113162608711,-9.53891388580404,-8.28522469473287,-11.9095671145312,-11.0395961220459
"m5_fecal_control_r1_7d",-7.90441043694231,-3.31516648518649,-6.10115888466475,-5.2017752186554,-7.24878327734469,-10.7267160839647
"m3_fecal_psg_r6_7d",-8.51736820673052,-7.6033233876251,-9.28487643574805,-9.68857296647531,-8.54930324533447,-8.61085572932825
"m4_fecal_van_r1_7d",-7.19834423900738,-10.1474462435643,-9.24537187214811,-7.67920568099937,-7.10358161620726,-8.37450943474424
"m3_ileum_mucosa_flu_r2_7d",-8.47690573973856,-5.15597441003127,-7.40888142843934,-6.8553146430427,-7.38979100445171,-10.8082895335718
"m1_fecal_flu_r1_7d",-9.92106106615329,-5.15597441003127,-7.96175468762474,-6.74202899853788,-7.30486538750757,-12.3848237838608
"m2_ileum_mucosa_van_r2_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m3_fecal_psg_r6_7d_repeatredone",-14.2256616280632,-10.9736989906835,-11.4269404478411,-8.79582302594858,-12.345040503274,-10.9656599139316
"m1_fecal_amp_r1_7d",-9.61311909165904,-5.48860174260548,-8.1440859994162,-6.68107399283778,-3.85762005104885,-11.5327547726223
"m3_ileum_mucosa_control_r2_7d",-9.64858490296142,-5.20337816463841,-8.17569432378502,-6.70571279757598,-3.71591771558893,-12.841849434719
"m2_fecal_control_r5_7d",-10.7037300860476,-10.1836301186303,-10.0392225140935,-7.15818781053402,-12.2267326002265,-11.6738903085677
"m4_fecal_psg_r6_21d",-7.79854020054568,-6.4688167116727,-7.6504051064418,-4.50546965788247,-7.66708299437677,-11.2695109444806
"m5_ileum_luminal_control_r2_7d",-7.90441043694231,-3.31516648518649,-6.10115888466475,-5.2017752186554,-7.24878327734469,-10.7267160839647
