# PSG alone
"Penicillium"
"Lewia"
"uncl_Ascomycota_2"
"subgenus_of_Saccharomycetales"
# van
"Drechslera"
# differential
"uncl_Pleosporaceae_5"
"uncl_subfamily_of_Saccharomycetales_5"
"uncl_Saccharomycetales_4"
"Candida"
