"","SAMPLEID","cfu","dilution_factor","less_tissue","total_weight","tissueweight","logcfu_per_gram","zero_cfu"
"91","m2@ileum_mucosa@psg@r6@7d_repeatredone_9",94,50000,8.0957,8.1333,0.0375999999999994,8.09691001300806,8.09691001300806
"92","m3@fecal@van@r6@21d_repeatredone_21",1,5,8.0285,8.0542,0.0257000000000005,2.28903688100472,0
"93","m2@fecal@control@r4@7d_repeat_14",1,5,8.0348,8.0469,0.0121000000000002,2.61618463401956,0
"94","m4@ileum_mucosa@control@r4@21d_repeat_21",1,5,7.9891,8.0095,0.0203999999999995,2.38933983691013,0
"95","m1@fecal@van@r5@7d_repeat_9",11,5,8.2718,8.3029,0.0310999999999986,3.24760230046743,3.24760230046743
"96","m1@fecal@van@r5@7d_repeat_14",1,5,8.1537,8.1769,0.0231999999999992,2.33348201944513,0
"97","m4@fecal@psg@r6@21d_repeatredone_21",208,5000,8.0463,8.0824,0.0360999999999994,7.45952613739313,7.45952613739313
"98","m4@ileum_mucosa@van@r6@21d_repeatredone_21",1,5,7.9923,8.0285,0.0361999999999991,2.14026143380286,0
"99","m2@fecal@psg@r6@7d_repeatredone_9",94,50000,8.0957,8.1333,0.0375999999999994,8.09691001300806,8.09691001300806
"100","m2@fecal@psg@r6@7d_repeatredone_14",177,5000,8.1012,8.1212,0.0199999999999996,7.64591327503385,7.64591327503385
"101","m4@ileum_mucosa@psg@r6@21d_repeatredone_21",208,5000,8.0463,8.0824,0.0360999999999994,7.45952613739313,7.45952613739313
"102","m3@fecal@psg@r6@7d_repeatredone_14",115,50000,8.0453,8.1012,0.0559000000000012,8.0122560368032,8.0122560368032
"103","m3@fecal@van@r4@7d_repeat_9",2,5,8.2165,8.242,0.025500000000001,2.59345981956603,2.59345981956603
"104","m3@ileum_mucosa@van@r4@7d_repeat_9",2,5,8.2165,8.242,0.025500000000001,2.59345981956603,2.59345981956603
"105","m1@ileum_mucosa@van@r6@7d_repeatredone_14",1,5,8.1537,8.1769,0.0231999999999992,2.33348201944513,0
"106","m3@ileum_mucosa@psg@r6@7d_repeatredone_9",155,50000,8.0634,8.0957,0.0323000000000011,8.38009918017519,8.38009918017519
"107","m1@ileum_mucosa@van@r6@7d_repeatredone_9",11,5,8.2718,8.3029,0.0310999999999986,3.24760230046743,3.24760230046743
"108","m3@ileum_mucosa@control@r4@21d_repeat_21",1,5,8.0095,8.0194,0.00990000000000002,2.70333480973847,0
